"EVENT_ID","BAS_LOC_RM","LOCATION","RIVMILE","BASIN","DATE","RICHNESS","RICH_SCORE","EPT_RICH","EPT_SCORE","HBI","HBI_SCORE","SHANNON","SHANNON_SCORE","FINAL_SCORE"
"2.1_WALK_13_8/16/2018_1","13-WALK-2.1","WALK","2.1","13","8/16/2018",11,2.79,4,4.17,9.1,1.5,1.54375237690229,1.36,2.46
"2.1_WALK_13_8/16/2018_2","13-WALK-2.1","WALK","2.1","13","8/16/2018",4,0,3,3.61,5.81,5.86,1.70281953111478,1.76,2.81
"2.1_WALK_13_8/16/2018_3","13-WALK-2.1","WALK","2.1","13","8/16/2018",8,1.36,6,5.45,5.47,6.29,2.56575603493086,3.91,4.25
"2.1_WALK_13_8/16/2018_4","13-WALK-2.1","WALK","2.1","13","8/16/2018",9,1.82,4,4.17,7.73,3.46,1.83453712757349,2.09,2.88
"60.1_WALK_13_8/16/2018_1","13-WALK-60.1","WALK","60.1","13","8/16/2018",23,6.47,5,4.72,6.23,5.34,3.43468467819497,6.09,5.65
"60.1_WALK_13_8/16/2018_2","13-WALK-60.1","WALK","60.1","13","8/16/2018",18,4.85,5,4.72,5.8,5.88,3.09149057803011,5.23,5.17
"60.1_WALK_13_8/16/2018_3","13-WALK-60.1","WALK","60.1","13","8/16/2018",23,6.47,6,5.45,5.45,6.31,2.47620936384727,3.69,5.48
"60.1_WALK_13_8/16/2018_4","13-WALK-60.1","WALK","60.1","13","8/16/2018",21,5.88,4,4.17,5.34,6.45,1.80891459626289,2.02,4.63
"9.8_WALK_13_8/16/2018_1","13-WALK-9.8","WALK","9.8","13","8/16/2018",16,4.26,6,5.45,4.57,7.41,3.20509344134715,5.51,5.66
"9.8_WALK_13_8/16/2018_2","13-WALK-9.8","WALK","9.8","13","8/16/2018",18,4.85,6,5.45,4.47,7.53,2.99636638283448,4.99,5.7
"9.8_WALK_13_8/16/2018_3","13-WALK-9.8","WALK","9.8","13","8/16/2018",21,5.88,8,6.36,4.64,7.33,3.23242368323794,5.58,6.29
"9.8_WALK_13_8/16/2018_4","13-WALK-9.8","WALK","9.8","13","8/16/2018",16,4.26,5,4.72,4.71,7.24,3.02306054750609,5.06,5.32
